Year,Month,Sales,Date
2014,1,14236.895,2014-01-01
2014,2,4519.892,2014-02-01
2014,3,55691.009,2014-03-01
2014,4,28295.345,2014-04-01
2014,5,23648.287,2014-05-01
2014,6,34595.1276,2014-06-01
2014,7,33946.393,2014-07-01
2014,8,27909.4685,2014-08-01
2014,9,81777.3508,2014-09-01
2014,10,31453.393,2014-10-01
2014,11,78628.7167,2014-11-01
2014,12,69545.6205,2014-12-01
2015,1,18174.0756,2015-01-01
2015,2,11951.411,2015-02-01
2015,3,38726.252,2015-03-01
2015,4,34195.2085,2015-04-01
2015,5,30131.6865,2015-05-01
2015,6,24797.292,2015-06-01
2015,7,28765.325,2015-07-01
2015,8,36898.332200000004,2015-08-01
2015,9,64595.918,2015-09-01
2015,10,31404.9235,2015-10-01
2015,11,75972.5635,2015-11-01
2015,12,74919.5212,2015-12-01
2016,1,18542.491,2016-01-01
2016,2,22978.815000000002,2016-02-01
2016,3,51715.875,2016-03-01
2016,4,38750.039,2016-04-01
2016,5,56987.728,2016-05-01
2016,6,40344.534,2016-06-01
2016,7,39261.963,2016-07-01
2016,8,31115.3743,2016-08-01
2016,9,73410.0249,2016-09-01
2016,10,59687.745,2016-10-01
2016,11,79411.9658,2016-11-01
2016,12,96999.043,2016-12-01
2017,1,43971.374,2017-01-01
2017,2,20301.1334,2017-02-01
2017,3,58872.3528,2017-03-01
2017,4,36521.5361,2017-04-01
2017,5,44261.1102,2017-05-01
2017,6,52981.7257,2017-06-01
2017,7,45264.416,2017-07-01
2017,8,63120.888,2017-08-01
2017,9,87866.652,2017-09-01
2017,10,77776.9232,2017-10-01
2017,11,118447.825,2017-11-01
2017,12,83829.3188,2017-12-01
